ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,DISTRICT_CATEGORY
16184E93D9,서울 성동구 마장동,성우**,,서울 성동구,축산물,마장동,20130320,,마장동
4D039EA8B7,서울 성동구 마장동,대보**,,서울 성동구,축산물,마장동,20131122,,마장동
0074C4990A,서울 성동구 마장동,대용**,,서울 성동구,축산물,마장동,20140512,,마장동
68308F2746,서울 성동구 마장동,통일**,,서울 성동구,축산물,마장동,20151124,,마장동
4117EDDE9C,서울 성동구 마장동,한울**,,서울 성동구,축산물,마장동,20151211,,마장동
281CA527F1,서울 성동구 마장동,대광**,,서울 성동구,축산물,마장동,20170222,,마장동
9A71D71270,서울 성동구 마장동,미림**,,서울 성동구,식품 제조,,20170817,,마장동
761947ABD9,서울 성동구 마장동,호남*,,서울 성동구,한식-육류/고기,마장동,20130531,,마장동
145BA84596,서울 성동구 사근동,고향***,,서울 성동구,한식-찌개/전골,한양대,20140618,,한양대
27C88660A5,서울 성동구 송정동,북*,,서울 성동구,중식당,,20141217,,송정동
BAACCE3A2C,서울 성동구 용답동,좋은**,,서울 성동구,식료품,장한평자동차,20130305,,장한평자동차
BE3EAEA415,서울 성동구 용답동,별난**,,서울 성동구,한식-국수/만두,답십리,20140107,,답십리
01AAD3CFFA,서울 성동구 행당동,행당**,,서울 성동구,식료품,왕십리,20160513,,왕십리
C3E6D8B14F,서울 성동구 행당동,이혜*******,,서울 성동구,인삼제품,행당,20131216,,행당
E606947836,서울 성동구 홍익동,정*,,서울 성동구,중식당,왕십리,20150918,,왕십리
E863289A7D,서울 성동구 홍익동,조은**,,서울 성동구,한식-단품요리일반,,20150116,,왕십리
B584924DB0,서울 성동구 행당1동,왕십****,,서울 성동구,식품 제조,왕십리,20140828,,왕십리
2344622681,서울  성동구  도선동,광한******,,서울 성동구,한식-해물/생선,왕십리,20110502,,왕십리
3E35A71757,서울  성동구  마장동,멕시*****,치킨19,서울 성동구,치킨,,20050830,,마장동
5017C6924A,서울  성동구  마장동,도미********,피자2,서울 성동구,피자,,20100723,,마장동
888828B4FB,서울  성동구  마장동,현대**,,서울 성동구,식료품,,20070420,,마장동
06C463E9D9,서울  성동구  마장동,청계**,,서울 성동구,식료품,,20070704,,마장동
5AEEA3B4EF,서울  성동구  마장동,한양**,,서울 성동구,식료품,,20101008,,마장동
1400634946,서울  성동구  마장동,한일**,,서울 성동구,중식당,,20040728,,마장동
3E61C339E2,서울  성동구  마장동,세화**,,서울 성동구,축산물,,20020924,,마장동
B81D338DB6,서울  성동구  마장동,대성**,축산물2,서울 성동구,축산물,마장동,20030819,,마장동
8941E2A3A0,서울  성동구  마장동,광*,,서울 성동구,축산물,,20090304,,마장동
D5CFCB32BA,서울  성동구  마장동,희망**,,서울 성동구,축산물,,20110720,,마장동
